KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
lkwComfortZone,Comfort Zone (Temp.):,Komfortbereich (Temp.):,Zone de confort (Temp.):,Zona di Comfort (Temp.):,Zona de confort (Temp.):,Zona de conforto (Temp.):,Zona de Conforto (Temp.):,Zakres ochrony (temp.):,Зона комфорта (темп.):,対応可能温度,舒适区间 (温度):,舒適區間（溫度）：,컴포트 존(임시):,Rahat Bölge (Sıcaklık):,Ζώνη Άνεσης (Θερμοκρασία):,Comfort zone,Vùng thoải mái (nhiệt độ)
lkwDurability,Durability:,Haltbarkeit:,Durabilité:,Durevolezza:,Durabilidad:,Duração:,Durabilidade:,Wytrzymałość:,Прочность:,耐久度:,耐久度:,耐久度：,내구성:,Sağlamlık:,Αντοχή:,Duurzaamheid,Độ bền:
lkwHeatResistance,Heat Resistance:,Hitzeresistenz:,Tolérance à la chaleur:,Resistenza Calore:,Resistencia al calor:,Resistência ao calor:,Resistência ao Calor:,Odporność cieplna:,Устойчивость к жаре:,耐熱性:,炎热抗性:,抗炎熱性：,내열성:,Isı Direnci:,Αντοχή στη Ζέστη:,Hitte bestendigheid,Chịu nhiệt:
lkwLocker,ARMOR LOCKER,RÜSTUNGSSPIND,CASIER ARMURES,POSTAZIONE TUTA,DEPÓSITO DE ARMADURAS,ARMÁRIO PARA ARMADURA,ARMÁRIO DE ARMADURA,SZAFA NA SKAFANDER,ШКАФ АМУНИЦИИ,アーマーロッカー,护甲更衣柜,護甲櫃,아머 로커,ZIRH DOLABI,ΦΟΡΙΑΜΟΣ ΠΑΝΟΠΛΙΑΣ,UITRUSTINGS LOCKER,TỦ GIÁP
lkwRadiationLimit,Radiation Protection:,Strahlungslimit:,Protection contre les radiations:,Protezione Radiazioni:,Protección contra radiación:,Proteção contra radiações:,Prot. Contra Radiação:,Ochrona przed promieniowaniem:,Радиационная защита:,放射線防護:,辐射保护:,輻射防護：,방사선 방호:,Radyasyon Koruması:,Προστασία Ακτινοβολίας:,Stralings limiet,Bảo vệ bức xạ:
lkwRadResistance,Radiation Resistance:,Strahlungsresistenz:,Résistance aux radiations:,Resistenza Radiazioni:,Resistencia a la radiación:,Resistência a radiações:,Resistência á Radiação:,Odporność na promieniowanie:,Устойчивость к радиации:,放射線抵抗:,辐射抗性:,抗輻射性：,방사선 내성:,Radyasyon Direnci:,Αντοχή στην Ακτινοβολία:,Stralings bescherming,Bức xạ kháng:
lkwRepairs,Number of Repairs:,Anzahl Reparaturen:,Nb réparations:,Numero Riparazioni:,Número de reparaciones:,Número de reparações:,Número de Reparos:,Liczba napraw:,Число ремонтов:,修理数:,维修次数:,修理次數：,수리 횟수:,Tamir sayısı:,Αριθμός Επισκευών:,Reparaties,Điểm số sữa chữa:
lkwStoredArmor,Locker,Spind,Casier,Armadietto,Armario,Armário,Armário,Zawartość,Шкафчик,ロッカー,更衣柜,儲物櫃,로커,Dolap,Φωριαμός,Locker,Khoá
bmAlienForest,Alien Forest,Alienhafter Wald,Forêt Alien,Foresta Aliena,Bosque alienígena,Floresta Alien,Floresta Alienígena,Osobliwy las,Инопланетный лес,外星森林,外星森林,外星森林,외계 숲,Uzaylı Ormanı,Εξωγήινο Δάσος,Buitenaards bos,Rừng ngoại lai
bmAlienSavanna,Alien Savanna,Alienhafte Savanne,Savane Alien,Savana Aliena,Sabana alienígena,Savana Alien,Savana Alienígena,Osobliwa sawanna,Инопланетная саванна,外星草原,外星草原,外星草原,외계 사바나,Uzaylı Bozkırı,Εξωγήινη Σαβάνα,Buitenaardse savanne,Đồng cỏ ngoại lai
bmArcticForest,Artic Forest,Arktischer Wald,Forêt arctique,Foresta Artica,Bosque Ártico,Floresta Artic,Floresta Ártica,Zamarznięty las,Арктический лес,厳寒の森,极地森林,極地森林,인공 숲,Kutup Ormanı,Αρκτικό Δάσος,Arctich bos,Rừng bắc cực
bmArcticHighForest,Artic High Forest,Arktischer Wald,Haute forêt arctique,Foresta Alta Artica,Bosque alto Ártico,Alta Floresta Artic,Florestas Árticas Altas,Zamrożony wysoki las,Арктический высокий лес,寒高地,极地密林,極地喬木林,인공 고원,Kutup Yüksek Ormanı,Αρκτικό Ψηλό Δάσος,Hoog arctisch bos,Rừng bắc cực vùng cao
bmArcticHighPlains,High Plains,Hochgelegene Ebene,Hautes plaines,Alte Pianure,Llanuras elevadas,Planícies Elevadas,Planícies Altas,Wyżyny,Высокогорье,高原,高原,高原,고원,Yüksek Ovalar,Λόφοι,Hoge arctische vlakten,Cao nguyên
bmArcticIntermediatePlains,Intermediate Plains,Mittleres Flachland,Plaines moyennes,Pianure Intermedie,Llanuras intermedias,Planícies Intermédias,Planícies Intermediárias,Równiny,Плоскогорье,平原,中纬度平原,中層平原,평원,Orta Düzey Ovalar,Ενδιάμεσες Πεδιάδες,Gemiddelde arctische vlakten,Trung nguyên
bmArcticLowPlains,Hot Springs,Heisse Quellen,Basses plaines,Sorgenti Termali,Aguas termales,Fontes Termais,Fontes Termais,Gorące źródła,Горячие источники,低地,温泉,溫泉,온천,Kaplıcalar,Θερμοπηγές,Lage arctische vlakten,Suối nước nóng
bmBarrenFog,Mist,Nebelgebiet,Brume,Nebbia,Niebla,Neblina,Neblina,Mgła,Туман,霧,雾,迷霧,안개,Sis,Ομίχλη,Mist,Sương mù
bmBarrenOpenPlains,Open Plains,Flachland,Grandes plaines,Pianure Aperte,Llanuras abiertas,Planícies Abertas,Planícies Abertas,Rozległe niziny,Открытые равнины,平原,开阔平原,開闊平原,열린 평원,Açık Ovalar,Πεδιάδες,Kale open vlakten,Thảo nguyên
bmBarrenRocks,Barren Rocks,Felsen,Rochers arides,Rocce Aride,Rocas áridas,Rochedos Áridos,Deserto Árido de Rochas,Jałowe skały,Бесплодные скалы,砂岩,贫瘠岩石,貧瘠岩地,불모의 바위,Çorak Kayalar,Άγονοι Βράχοι,Kale rotsen,Đá Barren
bmDesertHighPlains,High Plains,Hohes Flachland,Hautes plaines,Alte Pianure,Llanuras elevadas,Planícies Elevadas,Planícies Elevadas,Wydmy,Высокогорье,高原,高原,高原,고원,Yüksek Ovalar,Λόφοι,Hoge woestijn vlakten,Cao nguyên
bmDesertLargeRocks,Large Rocks,Felsen,Grands rochers,Grandi Rocce,Rocas grandes,Rochedos Grandes,Pedras Grandes,Skalisko,Большие камни,巨岩,巨型岩石,大片岩地,대형 바위,Büyük Kayalar,Μεγάλοι Βράχοι,Grote woestijn rotsen,Đá tảng lớn
bmDesertLowMountains,Low Mountains,Niedrige Berge,Basses montagnes,Bassa Montagna,Montañas pequeñas,Montanhas Baixas,Montanhas Baixas,Wzgórza,Низкие горы,丘陵,低矮山丘,較低山地,낮은 산,Alçak Dağlar,Χαμηλά βουνά,Lage woestijn bergen,Núi thấp
bmDesertLowPlains,Low Plains,Niedriges Flachland,Basses plaines,Bassa Pianura,Llanuras bajas,Planícies Baixas,Planícies baixas,Niziny,Низины,低地,低矮平原,較低平原,저지대 평원,Alçak Ovalar,Χαμηλές Πεδιάδες,Lage woestijn vlakten,Hạ nguyên
bmDesertSmallLake,Lake,See,Lac,Lago,Lago,Lago,Lago,Oaza,Лесное озеро,湖,湖泊,湖泊,호수,Göl,Λίμνη,Klein woestijn meer,Hồ
bmDesertSolitude,Desert Solitude,Einöde,Désert aride,Deserto,Desierto solitario,Solidão do Deserto,Solidão do Deserto,Pustynna głusza,Безлюдная пустыня,砂漠,荒芜沙漠,荒野沙漠,고요한 사막,Issız Çöl,Μόνος στην Έρημο,Verlaten woestijn,Sa mạc vắng
bmIslands,Islands,Inselwelt,Iles,Isole,Islas,Ilhas,Ilhas,Wyspy,Острова,島,岛屿,島嶼,섬,Adalar,Νησιά,Eilanden,Quần đảo
bmLava,Lava,Lava,Lave,Lava,Lava,Lava,Lava,Lawa,Лава,溶岩,岩浆,熔岩,용암,Lav,Λάβα,Lava,Dung nham
bmLavaFog,Lava Fog,Nebelgebiet,Brouillard de lave,Nebbia Lavica,Bruma de lava,Névoa de lava,Névoa de Lava,Magmowy pył,Лавовые испарения,溶岩煙,岩浆雾霾,熔岩霧,용암 안개,Lav Sisi,Ομίχλη Λάβας,Lava mist,Sương mù dung nham
bmLavaPlains,Lava Plains,Flachland,Plaines de lave,Campo Lavico,Llanuras de lava,Planícies de lava,Planícies de lava,Niziny lawy,Лавовые равнины,溶岩,熔岩平原,熔岩平原,용암 평원,Lav Ovaları,Πεδιάδες Λάβας,Lava vlakten,Đồng bằng nham thạch
bmMountains,Mountains,Gebirge,Montagnes,Montagne,Montañas,Montanhas,Montanhas,Góry,Горы,山地,山脉,山地,산맥,Dağlar,Βουνά,Bergen,Núi
bmOcean,Ocean,Ozean,Océan,Oceano,Océano,Oceano,Oceano,Ocean,Океан,海洋,海洋,海洋,대양,Okyanus,Ωκεανός,Oceaan,Đại dương
bmOpenPlains,Open Plains,Offene Prärie,Grandes plaines,Aperta Pianura,Llanuras abiertas,Planícies Abertas,Planícies Abertas,Rozległe niziny,Открытые равнины,平原,开阔平原,開闊平原,열린 평원,Açık Ovalar,Πεδιάδες,Open vlakten,Thảo nguyên
bmSmallLake,Lake,See,Lac,Lago,Lago,Lago,Lago,Jezioro,Малое озеро,湖,湖泊,湖泊,호수,Göl,Λίμνη,Meer,Hồ
bmSwamp,Swamp,Sumpf,Marais,Palude,Ciénaga,Pântano,Pântano,Bagno,Болото,沼地,沼泽,沼澤,늪,Bataklık,Βάλτος,Moeras,Đầm lầy
bmTropicalForest,Tropical Forest,Tropischer Wald,Forêt tropicale,Foresta Tropicale,Bosque tropical,Floresta Tropical,Floresta Tropical,Dżungla,Тропический лес,熱帯林,热带雨林,熱帶森林,열대림,Tropikal Orman,Τροπικό Δάσος,Tropisch bos,Rừng nhiệt đới
bmTropicalIsland,Tropical Island,Tropische Insel,Ile tropicale,Isola Tropicale,Isla tropical,Ilha Tropical,Ilha Tropical,Tropikalne wyspy,Тропический остров,亜熱帯,热带岛屿,熱帶島嶼,열대섬,Tropik Ada,Τροπικό Νησί,Tropisch eiland,Đảo nhiệt đới
bmWater,Lake,See,Lac,Lago,Lago,Lago,Lago,Jezioro,Озеро,湖,湖泊,湖泊,호수,Göl,Λίμνη,Meer,Hồ
AlienBlocks,Alien Building Blocks,Alien Baublöcke,Blocs Alien,Blocchi da Costruzione Alieni,Bloques de construcción alienígena,Blocos de Construção Alien,Blocos Alien de Construção,Bloki obcych (grupa),Строительные блоки инопланетян,エイリアンブロック,外星建筑方块,外星建築方塊,외계 빌딩 블록,Uzaylı Yapı Blokları,Εξωγήινο Μπλοκ Κατασκευής,Buitenaardse blokken,Khối xây dựng Alien
AlienFull,Alien Block,Alienblock,Bloc Alien,Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alien,Blok obcych,Блок инопланетян,エイリアンブロック,外星方块,外星方塊,외계 블록,Uzaylı Blokları,Εξωγήινο Μπλοκ,Buitenaards blok,Khối Alien
AlienInteriorGreen01,Alien Block (Green),Außerirdischer Block (grün),Bloc Alien (vert),Blocco Alieno (Verde),Bloque alienígena (verde),Bloco Alien (Verde),Bloco Alien (Verde),Blok obcych (zielony),Блок инопланетян (зеленый),エイリアンブロック(グリーン),外星方块 (绿色),外星方塊（綠）,외계 블록(녹색),Uzaylı Blokları (Yeşil),Εξωγήινο Μπλοκ (Πράσινο),Buitenaards blok (groen),Khối Alien (xanh lá cây)
AlienInteriorGreen02,Alien Block 2 (Green),Außerirdischer Block 2 (grün),Bloc Alien 2 (vert),Blocco Alieno 2 (Verde),Bloque alienígena 2 (verde),Bloco Alien 2 (Verde),Bloco Alien 2 (Verde),Blok obcych 2 (zielony),Блок инопланетян 2 (зеленый),エイリアンブロックⅡ(グリーン),外星方块2 (绿色),外星方塊2（綠）,외계 블록 2(녹색),Uzaylı Blokları 2 (Yeşil),Εξωγήινο Μπλοκ 2 (Πράσινο),Buitenaards blok 2 (groen),Khối Alien 2 (xanh lá cây)
AlienInteriorGreenWedge01,Alien Slope (Green),Außerirdischer Block schräg 1 (grün),Bloc Alien incliné (vert),Rampa Aliena (Verde),Ladera alienígena (verde),Inclinação Alien (Verde),Inclinado Alien (Verde),Blok obcych - nachylony,Блок инопланетян наклонный (зеленый),エイリアンスロープ(グリーン),外星斜坡 (绿色),外星斜坡（綠）,외계 경사면(녹색),Uzaylı Eğim (Yeşil),Εξωγήινη Πλαγιά (Πράσινο),Buitenaardse helling (groen),Khối Alien có dốc (Xanh lá cây)
AlienThin,Alien Block,Alienblock,Bloc Alien (fin),Blocco Alieno,Bloque alienígena,Bloco Alien,Bloco Alien,Blok obcych,Блок инопланетян (тонкий),エイリアンブロック,外星方块,外星方塊,외계 블록,Uzaylı Blokları,Εξωγήινο Μπλοκ,Buitenaards blok,Khối Alien
Artificialmass,Artificial Mass,Künstliche Masse,Masse artificielle,Massa Artificiale,Masa Artificial,Massa Artificial,Massa Artificial,Blok masy,Искусственная масса,マスブロック,人造质量方块,人工製品,인공물,Yapay Ağırlık,Τεχνητή Μάζα,Kunstmatige massa,Trọng lượng nhân tạo
ArtMassBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke,Blocs masse artificielle,Blocchi di Massa Artificiale,Bloques de Masa Artificial,Blocos de Massa Artificial,Blocos de Massa Artificial,Bloki masy (grupa),Блоки искусственной массы,マスブロック,人造质量方块,人工製品方塊,인공물 블록,Yapay Ağırlık Blokları,Μπλοκ Τεχνητής Μάζας,Kunstmatige massa blokken,Khối trọng lượng nhân tạo
ArtMassCVBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke,Blocs Masse artificielle,Blocchi di Massa Artificiale,Bloques de Masa Artificial,Blocos de Massa Artificial,Blocos de Massa Artificial,Bloki masy (grupa),Блоки искусственной массы,マスブロック,人造质量方块,人工製品方塊,인공물 블록,Yapay Ağırlık Blokları,Μπλοκ Τεχνητής Μάζας,Kunstmatige massa blokken,Khối trọng lượng nhân tạo
ArtMassHeavy,Artificial Mass (Heavy),Künstliche Masse (schwer),Masse artificielle (lourde),Massa Artificiale (Pesante),Masa Artificial (pesado),Massa Artificial (Pesada),Massa Artificial (Pesada),Blok masy (ciężki),Искусственная масса (тяжелая),マスブロック(重),人造质量方块 (重型),人工製品（重）,인공물(무거움),Yapay Ağırlık (Ağır),Τεχνητή Μάζα (Βαρύ),Kunstmatige massa (Zwaar),Trọng lượng nhân tạo (nặng)
ArtMassHeavyCV,Artificial Mass (Heavy),Künstliche Masse (schwer),Masse artificielle (lourde),Massa Artificiale (Pesante),Masa Artificial (pesada),Massa Artificial (Pesada),Massa Artificial (Pesada),Blok masy (ciężki),Искусственная масса (тяжелая),マスブロック(重),人造质量方块 (重型),人工製品（重）,인공물(무거움),Yapay Ağırlık (Ağır),Τεχνητή Μάζα (Βαρύ),Kunstmatige massa (Zwaar),Trọng lượng nhân tạo (nặng)
ArtMassLight,Artificial Mass (Light),Künstliche Masse (leicht),Masse artificielle (légère),Massa Artificiale (Leggera),Masa Artificial (ligero),Massa Artificial (Leve),Massa Artificial (Leve),Blok masy (lekki),Искусственная масса (легкая),マスブロック(軽),人造质量方块 (轻型),人工製品（輕）,인공물(가벼움),Yapay Ağırlık (Hafif),Τεχνητή Μάζα (Φως),Kunstmatige massa (Licht),Trọng lượng nhân tạo (Nhẹ)
ArtMassLightCV,Artificial Mass (Light),Künstliche Masse (leicht),Masse artificielle (légère),Massa Artificiale (Leggera),Masa Artificial (ligero),Massa Artificial (Leve),Massa Artificial (Leve),Blok masy (lekki),Искусственная масса (легкая),マスブロック(軽),人造质量方块 (轻型),人工製品（輕）,인공물(가벼움),Yapay Ağırlık (Hafif),Τεχνητή Μάζα (Φως),Kunstmatige massa (Licht),Trọng lượng nhân tạo (Nhẹ)
ArtMassMedium,Artificial Mass (Medium),Künstliche Masse (mittel),Masse artificielle (médium),Massa Artificiale (Media),Masa Artificial (medio),Massa Artificial (Média),Massa Artificial (Média),Blok masy (średni),Искусственная масса (средняя),マスブロック(中),人造质量方块 (中型),人工製品（中）,인공물(보통),Yapay Ağırlık (Orta),Τεχνητή Μάζα (Μεσαίο),Kunstmatige massa (Gemiddeld),Trọng lượng nhân tạo (trung bình)
ArtMassMediumCV,Artificial Mass (Medium),Künstliche Masse (mittel),Masse artificielle (médium),Massa Artificiale (Media),Masa Artificial (medio),Massa Artificial (Média),Massa Artificial (Média),Blok masy (średni),Искусственная масса (средняя),マスブロック(中),人造质量方块(中型),人工製品（中）,인공물(보통),Yapay Ağırlık (Orta),Τεχνητή Μάζα (Μεσαίο),Kunstmatige massa (Gemiddeld),Trọng lượng nhân tạo (trung bình)
ConcreteBlocks,Concrete Blocks,Betonblöcke,Blocs béton,Blocchi di Calcestruzzo,Bloques de hormigón,Blocos de Cimento,Blocos de Concreto,Bloki betonowe (grupa),Бетонные блоки,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,Beton Bloklar,Τσιμεντένια Μπλοκ,Beton blokken,Khối bê tông
ConcreteDestroyedBlocks,Concrete Blocks - Destroyed,Betonblöcke - zerstört,Blocs béton - détruits,Blocchi di Calcestruzzo - Distrutti,Bloques de hormigón - Destruido,Blocos de Cimento - Destruídos,Blocos de Concreto - Destruído,"Bloki betonowe, zniszczone (grupa)",Бетонные блоки - разбитые,コンクリート(破損),水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,Beton Bloklar- Yıkık,Τσιμεντένια Μπλοκ - Κατεστραμμένα,Beton blokken - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteFull,Concrete Block,Betonblock,Bloc béton,Blocco di Calcestruzzo,Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок,コンクリート,水泥方块,混凝土方塊,콘크리트 블록,Beton Blok,Τσιμεντένιο Μπλοκ,Beton blok,Khối bê tông
ConcreteFullDestroyed,Concrete Block - Destroyed,Betonblock - zerstört,Bloc béton - détruit,Blocco di Calcestruzzo - Distrutto,Bloque de hormigón - Destruido,Bloco de Cimento - Destruído,Bloco de Concreto - Destruído,Blok betonowy - zniszczony,Бетонный блок - разбитый,コンクリート(破損),水泥方块 - 已损毁,混凝土方塊 - 已摧毀,콘크리트 블록 - 파괴됨,Beton Blok - Yıkık,Τσιμεντένιο Μπλοκ - Κατεστραμμένο,Beton blok - Vernietigd,Khối bê tông - Đã bị phá huỷ
ConcreteThin,Concrete Block,Betonblock,Bloc béton (fin),Blocco di Calcestruzzo (Sottile),Bloque de hormigón,Bloco de Cimento,Bloco de Concreto,Blok betonowy,Бетонный блок (тонкий),コンクリート,水泥方块,混凝土方塊,콘크리트 블록,Beton Blok,Τσιμεντένιο Μπλοκ (λεπτό),Beton blok,Khối bê tông
ConcreteThinBlocks,Concrete Blocks (thin),Betonblöcke (dünn),Blocs béton (fin),Blocchi di Calcestruzzo (Sottile),Bloques de hormigón(delgado),Blocos de Cimento (finos),Blocos de Concreto (fino),"Bloki betonowe, płaskie (grupa)",Бетонные блоки (тонкие),薄型コンクリート,水泥方块 (薄型),混凝土方塊（薄）,콘크리트 블록(얇음),Beton Bloklar (ince),Τσιμεντένιο Μπλοκ (λεπτό),Beton blokken (Smal),Khối bê tông (mỏng)
ConcreteThinDestroyed,Concrete Blocks (thin) - Destroyed,Betonblöcke (dünn) - zerstört,Blocs béton (fin) - détruits,Blocchi di Calcestruzzo (Sottile) - Distrutti,Bloques de hormigón (delgado) - Destruido,Blocos de Cimento (finos) - Destruídos,Blocos de Aço (fino) - Destruído,"Bloki betonowe, płaskie, zniszczone (grupa)",Бетонные блоки (тонкие) - разбитые,薄型コンクリート(破損),水泥方块 (薄型) - 已损毁,混凝土方塊（薄） - 已摧毀,콘크리트 블록(얇음) - 파괴됨,Beton Bloklar (ince) - Yıkık,Τσιμεντένιο Μπλοκ (λεπτό) - Κατεστραμμένο,Beton blokken (Smal) - Vernietigd,Khối bê tông (mỏng) - Đã bị phá huỷ
GrowingPot,Growing Plot (Steel),Pflanzenbeet (Stahl),Parcelle horticole (acier),Terreno da Coltivazione (Acciaio),Parcela de cultivo (acero),Terreno Emergente (Aço),Terra Arada (Aço),Działka ogrodnicza (stal),Растительный модуль (Сталь),農地(スチール),植物生长箱 (钢制),植物培養基（鋼鐵）,성장 대지(강철),Tarım Arsası (Çelik),Γλάστρα (Ατσάλι),Groeiplaats (Staal),Ô đất trồng (bằng thép)
GrowingPotConcrete,Growing Plot (Concrete),Pflanzenbeet (Beton),Parcelle horticole (béton),Terreno da Coltivazione (Calcestruzzo),Parcela de cultivo (hormigón),Terreno Emergente (Cimento),Terra Arada (Concreto),Działka ogrodnicza (beton),Растительный модуль (Бетон),農地(コンクリート),植物生长箱 (水泥),植物培養基（混凝土）,성장 대지(콘크리트),Tarım Arsası (Beton),Γλάστρα (Τσιμέντο),Groeiplaats (Beton),Ô đất trồng (bằng bê tông)
GrowingPotWood,Growing Plot (Wood),Pflanzenbeet (Holz),Parcelle horticole (bois),Terreno da Coltivazione (Legno),Parcela de cultivo (madera),Terreno Emergente (Madeira),Terra Arada (Madeira),Działka ogrodnicza (drewno),Растительный модуль (Дерево),農地(木材),植物生长箱 (木制),植物培養基（木材）,성장 대지(목재),Tarım Arsası (Ahşap),Γλάστρα (Ξύλο),Groeiplaats (Hout),Ô đất trồng (bằng gỗ)
HullArmoredFull,Hardened Steel Block,Gehärteter Stahlblock,Bloc acier blindé,Blocco di Acciaio Rinforzato,Bloque de acero endurecido,Bloco de Aço Temperado,Bloco de Aço Reforçado,Blok ze stali hartowanej,Прочный стальной блок,硬化スチール,加固钢制方块,硬化鋼方塊,경화 강철 블록,Güçlendirilmiş Çelik Blok,Μπλοκ Σκληρό Ατσάλι,Gehard staal blok,Khối thép cứng
HullArmoredFullLarge,Hardened Steel Block L,Gehärteter Stahlblock L,Bloc acier blindé L,Blocco di Acciaio Rinforzato L,Bloque de acero endurecido (L),Bloco de Aço Temperado L,Bloco de Aço Reforçado G,Blok ze stali hartowanej L,Прочный стальной блок Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Güçlendirilmiş Çelik Blok L,Μπλοκ Σκληρό Ατσάλι L,Gehard staal blok L,Khối thép cứng L
HullArmoredFullSmall,Hardened Steel Block S,Gehärteter Stahlblock S,Bloc acier blindé S,Blocco di Acciaio Rinforzato S,Bloque de acero endurecido (S),Bloco de Aço Temperado S,Bloco de Aço Reforçado P,Blok ze stali hartowanej S,Прочный стальной блок М,硬化スチールS,加固钢制方块 S,硬化鋼小方塊,경화 강철 블록 S,Güçlendirilmiş Çelik Blok S,Μπλοκ Σκληρό Ατσάλι S,Gehard staal blok S,Khối thép cứng S
HullArmoredLargeBlocks,Hardened Steel Blocks L,Gehärtete Stahlblöcke L,Blocs acier blindé L,Blocchi di Acciaio Rinforzato L,Bloques de acero endurecido (L),Blocos de Aço Temperado L,Bloco de Aço Reforçado G,"Bloki stalowe, hartowane L (grupa)",Прочные стальные блоки Б,硬化スチールL,加固钢制方块 L,硬化鋼大方塊,경화 강철 블록 L,Güçlendirilmiş Çelik Bloklar L,Μπλοκ Σκληρό Ατσάλι L,Gehard staal blokken L,Khối thép cứng L
